,Title,Authors,Avg Ratings,Ratings,Published_year,Pages
609,"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,4.56,859338,1955,432.0
610,"Six of Crows (Six of Crows, #1)",Leigh Bardugo,4.49,874246,2015,465.0
611,"The Final Empire (Mistborn, #1)",Brandon Sanderson,4.47,629105,2006,537.0
612,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,4.3,2796928,2005,377.0
613,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,4.23,2681223,1950,206.0
614,"Shadow and Bone (The Shadow and Bone Trilogy, #1)",Leigh Bardugo,3.94,909466,2012,358.0
615,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,4.54,757980,2000,1177.0
616,"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,4.19,1182547,2012,432.0
617,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,4.16,712480,2005,1060.0
618,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,4.02,1488947,1995,399.0
619,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,3.94,1712396,2002,503.0
620,"The Cruel Prince (The Folk of the Air, #1)",Holly Black,4.06,1034909,2018,370.0
621,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,4.64,1358088,2016,624.0
622,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,4.33,635953,2011,1125.0
623,American Gods (Kindle Edition),Neil Gaiman,4.11,903828,2001,635.0
624,The Night Circus (Hardcover),Erin Morgenstern,4.02,931026,2011,400.0
625,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,4.08,1951759,2007,485.0
626,"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.64,6305687,2005,498.0
627,"A Darker Shade of Magic (Shades of Magic, #1)",V.E. Schwab,4.06,334081,2015,400.0
628,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,4.65,454838,2010,1007.0
629,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch (Mass Market Paperback)",Terry Pratchett,4.25,710830,1990,491.0
630,"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",Sarah J. Maas,4.46,1107675,2017,703.0
631,"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,4.6,590485,2016,561.0
632,Stardust (Paperback),Neil Gaiman,4.1,438109,1999,248.0
633,"Neverwhere (London Below, #1)",Neil Gaiman,4.17,514230,1996,370.0
634,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,4.24,1077147,2006,448.0
635,"Crown of Midnight (Throne of Glass, #2)",Sarah J. Maas,4.35,770124,2013,432.0
636,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,4.55,535378,2011,994.0
637,"The Well of Ascension (Mistborn, #2)",Brandon Sanderson,4.38,429766,2007,578.0
638,"Siege and Storm (The Shadow and Bone Trilogy, #2)",Leigh Bardugo,3.82,573574,2013,435.0
639,The Lord of the Rings (Paperback),J.R.R. Tolkien,4.52,657986,1955,1216.0
640,"Assassin's Apprentice (Farseer Trilogy, #1)",Robin Hobb,4.18,309215,1995,435.0
641,"The Lies of Locke Lamora (Gentleman Bastard, #1)",Scott Lynch,4.3,284548,2006,752.0
642,"Harry Potter and the Cursed Child: Parts One and Two (Harry Potter, #8)",J.K. Rowling,3.5,976134,2016,343.0
643,The Ocean at the End of the Lane (Paperback),Neil Gaiman,4.02,596650,2013,195.0
644,"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,4.36,974146,2007,320.0
645,"Red Queen (Red Queen, #1)",Victoria Aveyard,4.01,945438,2015,388.0
646,"Graceling (Graceling Realm, #1)",Kristin Cashore,4.07,451283,2008,471.0
647,"The Hero of Ages (Mistborn, #3)",Brandon Sanderson,4.53,392955,2008,572.0
648,Uprooted (Hardcover),Naomi Novik,4.04,227950,2015,438.0
649,"The Color of Magic (Discworld, #1; Rincewind, #1)",Terry Pratchett,4.0,376705,1983,228.0
650,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,4.43,3730716,1998,341.0
651,"The Hobbit (The Lord of the Rings, #0)",J.R.R. Tolkien,4.28,3781804,1937,366.0
652,Harry Potter and the Half-Blood Prince (Harry Potter #6),J.K. Rowling,4.58,3140961,2005,652.0
653,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.44,2409554,1996,835.0
